# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-01-06 16:17:13 -05:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13206000 BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 13206000
#    TS_ID       Parameter Description
#    47581       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	47581_00060	47581_00060_cd
5s	15s	20d	6s	14n	10s
USGS	13206000	2021-12-30 14:30	MST	226	P
USGS	13206000	2021-12-30 14:45	MST	226	P
USGS	13206000	2021-12-30 15:00	MST	226	P
USGS	13206000	2021-12-30 15:15	MST	223	P
USGS	13206000	2021-12-30 15:30	MST	223	P
USGS	13206000	2021-12-30 15:45	MST	226	P
USGS	13206000	2021-12-30 16:00	MST	226	P
USGS	13206000	2021-12-30 16:15	MST	228	P
USGS	13206000	2021-12-30 16:30	MST	228	P
USGS	13206000	2021-12-30 16:45	MST	231	P
USGS	13206000	2021-12-30 17:00	MST	231	P
USGS	13206000	2021-12-30 17:15	MST	234	P
USGS	13206000	2021-12-30 17:30	MST	234	P
USGS	13206000	2021-12-30 17:45	MST	234	P
USGS	13206000	2021-12-30 18:00	MST	234	P
USGS	13206000	2021-12-30 18:15	MST	231	P
USGS	13206000	2021-12-30 18:30	MST	231	P
USGS	13206000	2021-12-30 18:45	MST	228	P
USGS	13206000	2021-12-30 19:00	MST	228	P
USGS	13206000	2021-12-30 19:15	MST	226	P
USGS	13206000	2021-12-30 19:30	MST	226	P
USGS	13206000	2021-12-30 19:45	MST	226	P
USGS	13206000	2021-12-30 20:00	MST	226	P
USGS	13206000	2021-12-30 20:15	MST	226	P
USGS	13206000	2021-12-30 20:30	MST	226	P
USGS	13206000	2021-12-30 20:45	MST	226	P
USGS	13206000	2021-12-30 21:00	MST	226	P
USGS	13206000	2021-12-30 21:15	MST	223	P
USGS	13206000	2021-12-30 21:30	MST	223	P
USGS	13206000	2021-12-30 21:45	MST	223	P
USGS	13206000	2021-12-30 22:00	MST	223	P
USGS	13206000	2021-12-30 22:15	MST	223	P
USGS	13206000	2021-12-30 22:30	MST	223	P
USGS	13206000	2021-12-30 22:45	MST	223	P
USGS	13206000	2021-12-30 23:00	MST	223	P
USGS	13206000	2021-12-30 23:15	MST	223	P
USGS	13206000	2021-12-30 23:30	MST	223	P
USGS	13206000	2021-12-30 23:45	MST	223	P
USGS	13206000	2021-12-31 00:00	MST	223	P
USGS	13206000	2021-12-31 00:15	MST	223	P
USGS	13206000	2021-12-31 00:30	MST	220	P
USGS	13206000	2021-12-31 00:45	MST	223	P
USGS	13206000	2021-12-31 01:00	MST	223	P
USGS	13206000	2021-12-31 01:15	MST	223	P
USGS	13206000	2021-12-31 01:30	MST	223	P
USGS	13206000	2021-12-31 01:45	MST	220	P
USGS	13206000	2021-12-31 02:00	MST	220	P
USGS	13206000	2021-12-31 02:15	MST	220	P
USGS	13206000	2021-12-31 02:30	MST	220	P
USGS	13206000	2021-12-31 02:45	MST	220	P
USGS	13206000	2021-12-31 03:00	MST	220	P
USGS	13206000	2021-12-31 03:15	MST	220	P
USGS	13206000	2021-12-31 03:30	MST	220	P
USGS	13206000	2021-12-31 03:45	MST	220	P
USGS	13206000	2021-12-31 04:00	MST	220	P
USGS	13206000	2021-12-31 04:15	MST	220	P
USGS	13206000	2021-12-31 04:30	MST	220	P
USGS	13206000	2021-12-31 04:45	MST	220	P
USGS	13206000	2021-12-31 05:00	MST	220	P
USGS	13206000	2021-12-31 05:15	MST	220	P
USGS	13206000	2021-12-31 05:30	MST	220	P
USGS	13206000	2021-12-31 05:45	MST	220	P
USGS	13206000	2021-12-31 06:00	MST	220	P
USGS	13206000	2021-12-31 06:15	MST	220	P
USGS	13206000	2021-12-31 06:30	MST	217	P
USGS	13206000	2021-12-31 06:45	MST	220	P
USGS	13206000	2021-12-31 07:00	MST	220	P
USGS	13206000	2021-12-31 07:15	MST	220	P
USGS	13206000	2021-12-31 07:30	MST	220	P
USGS	13206000	2021-12-31 07:45	MST	220	P
USGS	13206000	2021-12-31 08:00	MST	217	P
USGS	13206000	2021-12-31 08:15	MST	217	P
USGS	13206000	2021-12-31 08:30	MST	217	P
USGS	13206000	2021-12-31 08:45	MST	217	P
USGS	13206000	2021-12-31 09:00	MST	220	P
USGS	13206000	2021-12-31 09:15	MST	220	P
USGS	13206000	2021-12-31 09:30	MST	220	P
USGS	13206000	2021-12-31 09:45	MST	220	P
USGS	13206000	2021-12-31 10:00	MST	220	P
USGS	13206000	2021-12-31 10:15	MST	220	P
USGS	13206000	2021-12-31 10:30	MST	220	P
USGS	13206000	2021-12-31 10:45	MST	220	P
USGS	13206000	2021-12-31 11:00	MST	223	P
USGS	13206000	2021-12-31 11:15	MST	220	P
USGS	13206000	2021-12-31 11:30	MST	223	P
USGS	13206000	2021-12-31 11:45	MST	223	P
USGS	13206000	2021-12-31 12:00	MST	223	P
USGS	13206000	2021-12-31 12:15	MST	223	P
USGS	13206000	2021-12-31 12:30	MST	223	P
USGS	13206000	2021-12-31 12:45	MST	223	P
USGS	13206000	2021-12-31 13:00	MST	223	P
USGS	13206000	2021-12-31 13:15	MST	223	P
USGS	13206000	2021-12-31 13:30	MST	226	P
USGS	13206000	2021-12-31 13:45	MST	223	P
USGS	13206000	2021-12-31 14:00	MST	223	P
USGS	13206000	2021-12-31 14:15	MST	226	P
USGS	13206000	2021-12-31 14:30	MST	223	P
USGS	13206000	2021-12-31 14:45	MST	226	P
USGS	13206000	2021-12-31 15:00	MST	223	P
USGS	13206000	2021-12-31 15:15	MST	226	P
USGS	13206000	2021-12-31 15:30	MST	223	P
USGS	13206000	2021-12-31 15:45	MST	223	P
USGS	13206000	2021-12-31 16:00	MST	223	P
USGS	13206000	2021-12-31 16:15	MST	223	P
USGS	13206000	2021-12-31 16:30	MST	223	P
USGS	13206000	2021-12-31 16:45	MST	223	P
USGS	13206000	2021-12-31 17:00	MST	223	P
